,SPD,BÜNDNIS 90/DIE GRÜNEN,FDP,CDU/CSU,DIE LINKE,AfD,Fraktionslos
0,1.2089,1.5477000000000003,1.0704,2.4015,2.2114000000000003,-2.1994000000000007,-2.6337
1,5.052399999999994,2.966,-0.3472999999999993,-1.8010999999999997,-2.0246,1.3780000000000001,-0.04529999999999994
2,0.08370000000000002,0.2889999999999999,1.4474,-1.3607999999999991,-0.6840999999999999,-3.4184999999999994,1.1993
3,-1.3851,-3.750500000000002,-3.2599,-3.8505,-0.013400000000000026,0.10010000000000012,-3.6450999999999993
4,0.9943,-0.5885,0.06909999999999994,-2.7957000000000005,-3.1368,-6.603500000000002,1.0380000000000005
5,-1.1562000000000003,-6.4955000000000025,-2.1267,1.5315,-1.2551,-0.11199999999999996,-3.2169
6,2.8175000000000003,-4.787600000000009,1.2449000000000003,1.4127000000000005,-0.6851999999999998,0.4176,-0.5210999999999999
7,0.5885,0.8320000000000001,3.679300000000001,-1.0096999999999998,-9.079200000000004,-4.2392,-0.9559
8,-3.378,1.4499000000000002,-4.048,-0.08530000000000001,-3.1783,0.20540000000000005,-1.6191
9,1.3915,-0.8332999999999999,-1.2838999999999998,-1.8063999999999996,1.5178,-1.0595,-2.0315
10,-2.4295,-0.09200000000000008,-1.6664999999999992,-1.1801999999999997,-1.3682,-0.05239999999999995,-1.3817000000000002
11,4.9213999999999976,3.0252,0.1394,-1.1686,-2.2032,-6.5910000000000055,-0.5811999999999997
12,1.3788000000000007,-3.3224,-2.1297,1.5723000000000005,-1.3366,0.17509999999999992,-1.1497
13,7.257699999999994,0.3972,-2.4729,2.0430000000000006,-0.6029,-0.8254,-0.6573
14,-0.2749999999999999,0.4568,-3.0117,-1.2865000000000002,1.1053000000000004,-5.996000000000005,-5.516000000000001
15,-5.571100000000002,0.8556000000000002,0.7108000000000001,4.2327999999999975,-3.2928999999999995,0.1373,-3.334099999999999
16,-0.8815,1.9679000000000004,0.2597,1.5290000000000004,-1.3393,-0.2397999999999999,0.6613
17,-0.4694999999999999,-3.4542999999999995,-3.713900000000001,1.3200000000000005,2.9413000000000005,-0.6466999999999998,2.3629
18,2.6086,-1.1311000000000002,1.9641000000000004,-5.0221000000000044,-3.9857,-0.9947,-1.2528
19,-3.1710000000000007,-1.6844,1.0425000000000004,-2.8902000000000005,-1.3513000000000002,0.7810999999999999,0.3622999999999999
20,-0.1595,-2.4434,2.0178,0.010799999999999966,-2.0626999999999995,-3.3773000000000013,-4.901500000000005
21,6.818899999999997,-2.4434,0.029000000000000026,0.11070000000000008,2.5650000000000004,-1.7457,-0.44480000000000025
22,3.5507000000000004,-3.8722,-0.9069000000000004,-3.2132999999999994,-3.0502,0.4910999999999998,-0.9287999999999998
23,-1.4409,-3.622500000000002,6.278699999999992,-2.0239000000000003,-3.3186,-9.131900000000009,-0.9876
24,-3.1400999999999994,-2.4604000000000004,-1.183,0.07290000000000019,-3.0542,-3.662700000000001,-2.2377
25,-2.5598,-2.3503,3.2622,-0.1419999999999994,-5.86920000000001,-5.707300000000008,0.29300000000000004
26,0.0,0.1251000000000001,-0.4817,0.5199000000000001,-2.376099999999999,-0.6295999999999998,-1.4333999999999996
27,-4.493600000000003,4.0172,-0.8628999999999998,2.2126999999999994,0.02379999999999993,-4.345500000000001,-2.7177000000000007
28,-1.4997999999999994,-3.151,0.6413000000000003,0.907,0.3897000000000001,-0.135,-4.628000000000001
29,-1.4662000000000002,0.0,-4.955900000000012,-3.3081000000000005,0.033899999999999875,-2.5229,-0.5206000000000001
30,-1.0111999999999992,0.7845,-0.8798999999999989,0.7856000000000001,-2.2278,-2.9385000000000003,0.0
31,1.6149000000000002,2.5392,-0.23379999999999995,-0.3918999999999996,-3.9902000000000015,-8.522100000000004,-1.0558
32,0.8158999999999998,-2.5606999999999998,-1.2528,-0.9024,-0.5181,-5.496400000000001,2.0970000000000004
33,2.3137999999999987,3.2079000000000004,-1.0401,-2.7979,-0.8025,-0.5325000000000001,0.8221
34,0.8331000000000001,-3.2847,-0.021699999999999976,1.6032000000000006,-4.253400000000002,-0.18600000000000005,-1.4057000000000002
35,0.0,6.2359999999999935,-3.025100000000003,-0.4575000000000001,0.4261,-0.21269999999999975,-0.5966
36,4.7690999999999955,7.130399999999992,-1.4027000000000005,-0.7518999999999998,-0.1362,-9.37320000000001,-0.5956999999999999
37,2.486,0.5916000000000001,1.3085999999999995,-4.137100000000003,0.2021,-2.8076,0.0
38,0.3115,-3.3713999999999995,2.3437999999999994,-3.830600000000002,0.2611,-5.745300000000018,0.8914
39,0.18999999999999986,0.34360000000000024,0.3727000000000004,-6.7177000000000175,0.11649999999999988,-1.0007,-3.5247
40,-0.4622,-1.2889999999999997,-4.149700000000001,-3.5515000000000003,-2.1176,-2.2159,0.0
41,5.804699999999998,-1.8998,-1.3847999999999998,-6.216000000000005,-6.426300000000006,0.4280999999999999,0.0
42,5.219899999999999,-0.6195000000000002,-0.4992999999999999,0.8143,-3.3388000000000013,-3.771500000000002,0.0
43,-13.627900000000007,-0.4183,-0.8855999999999997,-0.02540000000000009,-1.6864,0.9599,0.0
44,-5.107800000000001,1.7513999999999998,-1.2266999999999997,1.6661,-0.5178000000000003,-2.5442,-2.6071
45,-0.8018000000000001,2.9016,-0.9322,0.21910000000000004,-2.4234,-0.08760000000000001,-1.1984999999999997
46,1.3871999999999998,-1.1699000000000002,3.7960000000000007,0.8585,0.9887,-0.8988999999999998,-1.7802
47,-2.2099999999999995,2.2234,1.9698,-1.3979000000000004,-1.4442999999999997,1.3459999999999999,-0.6677
48,-1.9052,0.7027999999999996,0.4273000000000001,-5.9316,1.0582000000000005,-0.2299000000000003,-0.2542999999999997
49,0.6009,0.0,0.0,-2.5767000000000007,0.5135000000000003,-0.7564000000000002,1.111
50,-0.623,0.0,0.0,-3.4671000000000016,-0.10359999999999996,0.0,-2.1285
51,3.3446,0.3862,0.3894,-0.5439000000000003,1.5031000000000003,0.0,-0.022599999999999884
52,0.1936999999999999,0.0,0.0,-2.2949,2.3666000000000005,-0.5209,0.0
53,9.751799999999976,-2.8897000000000004,5.42869999999999,0.3774000000000002,-1.4945,0.8939999999999999,-2.1297
54,-0.14140000000000053,2.1579999999999995,0.7971000000000004,-1.3817000000000002,-0.6262999999999996,0.0,0.1832999999999998
55,5.718099999999992,-0.277,-1.6406999999999998,-0.1223000000000003,-5.1884000000000094,-4.8685000000000045,0.5579000000000001
56,2.6270000000000007,-2.282799999999999,-1.082,-3.2017,0.5082,-3.1698999999999997,-2.1373
57,3.9846,-0.25909999999999983,0.7081,-0.1637999999999999,-3.5784,-2.2452,-2.4254
58,-4.924100000000001,-2.2539,8.157999999999992,-1.3661999999999994,-5.161100000000003,-4.265600000000006,0.4059
59,2.8662,3.9101000000000012,1.7969000000000008,-1.2032999999999998,-4.8205,-3.7732,-1.1888999999999996
