,SPD,BÜNDNIS 90/DIE GRÜNEN,FDP,CDU/CSU,DIE LINKE,AfD,Fraktionslos
count,4483.0,2903.0,2373.0,3733.0,1452.0,2015.0,233.0
mean,0.6148660272139183,0.02666613847743653,0.39686325326590693,-0.5246647468523993,-1.557179958677687,-1.6308234243176192,-0.8336811158798281
std,2.7618707521414048,2.4984464109801108,2.447593149077894,2.505677165595928,2.361290114338102,2.3913219159177137,1.652618941826346
min,-17.338400000000004,-14.387600000000026,-17.236299999999765,-17.085500000000003,-14.933700000000007,-15.784500000000005,-5.516000000000001
25%,-0.5810000000000002,-1.08745,-0.6700000000000002,-1.7818999999999996,-2.752325,-2.8067,-1.8676
50%,0.4937000000000004,0.06659999999999955,0.2318,-0.1223000000000003,-1.0624499999999997,-1.0872,-0.6207
75%,1.9407,1.2991000000000001,1.6926,0.8591000000000004,0.0,0.0,0.2332
max,42.30869999999978,10.710199999999992,9.845699999999992,10.636899999999985,7.111299999999996,5.116399999999999,3.4322
