,party,rating
159,Fraktionslos,1.3739999999999999
160,Fraktionslos,0.4208000000000003
161,Fraktionslos,0.0
162,Fraktionslos,0.195
163,Fraktionslos,0.0
164,Fraktionslos,-0.19499999999999998
165,Fraktionslos,0.9487999999999999
166,Fraktionslos,-2.8051
167,Fraktionslos,-1.2256999999999993
168,Fraktionslos,-0.5701999999999998
169,Fraktionslos,-0.9366000000000001
170,Fraktionslos,0.5895
171,Fraktionslos,0.5619000000000001
172,Fraktionslos,0.4901
173,Fraktionslos,0.0
174,Fraktionslos,-3.5015
175,Fraktionslos,3.4322
176,Fraktionslos,-3.919200000000001
177,Fraktionslos,3.1219
178,Fraktionslos,-2.5500999999999996
179,Fraktionslos,-1.9431
180,Fraktionslos,1.159
181,Fraktionslos,-0.06079999999999991
182,Fraktionslos,-0.3332
183,Fraktionslos,-5.313300000000003
184,Fraktionslos,1.1806000000000003
185,Fraktionslos,0.17830000000000001
186,Fraktionslos,-1.1692
187,Fraktionslos,-1.4904999999999995
188,Fraktionslos,-0.1750999999999998
189,Fraktionslos,-3.1289
190,Fraktionslos,2.2969999999999997
191,Fraktionslos,-3.0011999999999994
192,Fraktionslos,-1.4556
193,Fraktionslos,0.6477000000000003
194,Fraktionslos,-0.6556000000000002
195,Fraktionslos,-0.07119999999999993
196,Fraktionslos,-3.0601
197,Fraktionslos,-0.2528000000000001
198,Fraktionslos,0.22699999999999992
199,Fraktionslos,-2.9408
200,Fraktionslos,-0.37060000000000004
201,Fraktionslos,0.4206
202,Fraktionslos,0.4363
203,Fraktionslos,-3.1034
204,Fraktionslos,-0.6695000000000003
205,Fraktionslos,-2.9112
206,Fraktionslos,-3.5359000000000003
207,Fraktionslos,-0.07199999999999974
208,Fraktionslos,0.5995000000000003
209,Fraktionslos,0.33630000000000004
210,Fraktionslos,-0.9875999999999998
211,Fraktionslos,0.24359999999999993
212,Fraktionslos,0.3836
213,Fraktionslos,0.0
214,Fraktionslos,0.0
215,Fraktionslos,-2.2449
216,Fraktionslos,-1.8676000000000001
217,Fraktionslos,1.5560000000000003
218,Fraktionslos,-0.6788
219,Fraktionslos,0.4258000000000004
220,Fraktionslos,0.08660000000000002
221,Fraktionslos,-0.9376
222,Fraktionslos,1.7940999999999998
223,Fraktionslos,0.0
224,Fraktionslos,-0.21589999999999998
225,Fraktionslos,1.2649000000000001
226,Fraktionslos,0.5274
227,Fraktionslos,-1.5663999999999998
228,Fraktionslos,2.1646
229,Fraktionslos,-2.4784
230,Fraktionslos,-4.208900000000001
231,Fraktionslos,0.0
232,Fraktionslos,0.0
